district,url,depth,status,reason,candidates_found
Lander,https://www.lander.k12.nv.us/about/board-of-trustees/data-dashboard/data-dashboard-our-story/growing-our-staffing,1,cached,served from local cache,0
Lander,https://www.lander.k12.nv.us/about/board-of-trustees/data-dashboard/data-dashboard-our-story/sick-hours-used,1,cached,served from local cache,0
Lander,https://www.lander.k12.nv.us/about/directory,1,cached,served from local cache,0
Lander,https://www.lander.k12.nv.us/about/lcsd-spotlights,1,cached,served from local cache,0
Lander,https://www.lander.k12.nv.us/about/news-events,1,cached,served from local cache,0
Lander,https://www.lander.k12.nv.us/about/lcsd-nurse,1,cached,served from local cache,0
Lander,https://www.lander.k12.nv.us/about/food-and-nutrition,1,cached,served from local cache,0
Lander,https://www.lander.k12.nv.us/about/transportation,1,cached,served from local cache,0
Lander,https://www.lander.k12.nv.us/about/21st-cclc,1,cached,served from local cache,0
Lander,https://www.lander.k12.nv.us/about/student-services,1,cached,served from local cache,0
Lander,https://www.lander.k12.nv.us/about/district-reports-statements,1,cached,served from local cache,0
Lander,https://www.lander.k12.nv.us/about/title-ix,1,cached,served from local cache,0
Lander,https://www.lander.k12.nv.us/about/contact-us,1,cached,served from local cache,0
Lander,https://bmhs.lander.k12.nv.us,1,cached,served from local cache,0
Lander,https://bmhs.lander.k12.nv.us/about/school-hours-daily-schedule,2,cached,served from local cache,0
Lander,https://bmhs.lander.k12.nv.us/athletics/team-schedules,2,cached,served from local cache,0
Lander,https://bmhs.lander.k12.nv.us/about/school-hours-daily-schedule/~board/school-hours-daily-schedule/post/bell-schedule-2024,3,cached,served from local cache,0
Lander,https://bmms.lander.k12.nv.us,1,cached,served from local cache,0
Lander,https://bmms.lander.k12.nv.us/eljh/news-events/~board/eleanor-lemaire-junior-high-school-news/post/reminder-you-must-complete-your-registration-paperwork-to-receive-your-students-schedule,2,cached,served from local cache,0
Lander,https://www.lander.k12.nv.us/fs/pages/3,1,cached,served from local cache,0
Lander,https://www.lander.k12.nv.us/careers/available-positions/~board/job-postings/post/position-announcement-part-time-custodian-8-hours-a-week-austin-school,1,cached,served from local cache,0
Lincoln,https://www.lcsdnv.com/,0,cached,served from local cache,0
