school_id,school_name,borough,district,start_minutes,start_time_raw,building_code,grad_rate,advanced_regents_pct,dropout_pct,attendance_rate,college_career_rate,cohort_size,poverty_pct,el_pct,swd_pct,enrollment,admissions_method,applicants_per_seat,outcome_censored,enrollment_1000,start_hours,start_group,poverty_band
02M412,N.Y.C. Lab School for Collaborative Studies,Manhattan,New York City,480.0,8am,M070,95.7,55.7,0.0,94.0,87.0,115.0,29.2,0.6,20.0,471.0,Screened,33.0,False,0.471,8.0,Early,Lowest poverty
04M495,Park East High School,Manhattan,New York City,525.0,8:45am,M495,92.7,20.2,0.0,94.0,69.0,109.0,75.9,4.1000000000000005,17.5,389.0,Screened,38.0,False,0.389,8.75,Late,Upper middle
02M047,47 The American Sign Language and English Secondary School,Manhattan,New York City,495.0,8:15am,M047,92.5,15.0,7.5,86.0,62.0,40.0,76.8,4.6,27.0,196.0,Screened,6.0,False,0.196,8.25,Late,Upper middle
07X600,Alfred E. Smith Career and Technical Education High School,Bronx,New York City,480.0,8am,X600,84.3,1.0,5.9,84.0,37.0,102.0,89.2,19.3,27.700000000000003,455.0,Educational option,5.0,False,0.455,8.0,Early,Highest poverty
14K449,"Brooklyn Latin School, The",Brooklyn,New York City,480.0,8am,K049,97.4,64.7,0.0,93.0,85.0,156.0,53.7,0.0,2.3,698.0,Specialized or test,,False,0.698,8.0,Early,Lowest poverty
09X404,School for Excellence,Bronx,New York City,490.0,8:10am,X400,47.9,0.0,20.2,66.0,35.0,94.0,91.9,27.0,27.9,326.0,Educational option,3.0,False,0.326,8.166666666666666,Early,Highest poverty
06M540,A. Philip Randolph Campus High School,Manhattan,New York City,480.0,8am,M540,79.0,12.0,5.8,84.0,53.0,309.0,85.5,14.2,15.4,1503.0,Educational option,9.0,False,1.503,8.0,Early,Highest poverty
26Q495,Bayside High School,Queens,New York City,480.0,8am,Q405,96.5,48.6,0.4,93.0,84.0,710.0,50.6,8.200000000000001,16.6,2850.0,Audition,18.0,False,2.85,8.0,Early,Lowest poverty
02M425,Leadership and Public Service High School,Manhattan,New York City,510.0,8:30am,M894,74.7,6.7,6.0,83.0,44.0,150.0,82.6,4.9,20.1,473.0,Educational option,2.0,False,0.473,8.5,Late,Upper middle
10X565,High School for Energy and Technology,Bronx,New York City,504.0,8:24am,X660,71.2,4.8,8.7,83.0,48.0,104.0,88.3,14.3,26.8,406.0,Educational option,8.0,False,0.406,8.4,Late,Highest poverty
