nrc_school_code,school_name,district,city,school_type,grade_levels,act_composite,grad_rate,outcome_censored,ela_proficient_pct,math_proficient_pct,chronic_absent_pct,enrollment_nrc,el_pct,iep_pct,frl_pct_reported,ncessch,lea_name,locale_group,charter,enrollment_ccd,latitude,longitude,frl_pct_ccd,direct_cert_pct,start_minutes,start_time_source,start_time_url,school_id,enrollment,poverty_pct,enrollment_1000,start_hours,start_group,poverty_band
02431,Spring Valley High School,Clark,Las Vegas,Regular School,09-12,17.93,93.73,False,62.5,25.0,37.5,2668.0,9.8,8.1,100.0,320006000616,CLARK COUNTY SCHOOL DISTRICT,Suburb,0,2668.0,36.120901,-115.259135,99.92503748125937,42.57871064467766,420.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02431,2668.0,42.57871064467766,2.668,7.0,Early,Upper middle
02432,Veterans Tribute Career and Technical Academy,Clark,Las Vegas,Regular School,09-12,19.21,97.5,True,67.5,28.4,25.7,824.0,5.5,6.4,100.0,320006000778,CLARK COUNTY SCHOOL DISTRICT,City,0,824.0,36.188103,-115.177192,100.0,37.37864077669903,445.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02432,824.0,37.37864077669903,0.824,7.416666666666667,Early,Upper middle
02433,Southwest Career and Technical Academy,Clark,Las Vegas,Regular School,09-12,20.84,97.5,True,79.4,39.5,18.5,1591.0,3.4,5.3,100.0,320006000780,CLARK COUNTY SCHOOL DISTRICT,Suburb,0,1591.0,36.038155,-115.247086,100.0,19.73601508485229,,,,02433,1591.0,19.73601508485229,1.591,,,Lower middle
02434,Sunrise Mountain High School,Clark,Las Vegas,Regular School,09-12,14.31,86.43,False,20.3,2.5,63.3,2622.0,29.3,13.9,100.0,320006000777,CLARK COUNTY SCHOOL DISTRICT,Suburb,0,2622.0,36.20512,-115.019491,100.0,62.738367658276125,420.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02434,2622.0,62.738367658276125,2.622,7.0,Early,Highest poverty
02435,West Career and Technical Academy,Clark,Las Vegas,Regular School,09-12,23.2,97.5,True,89.6,57.5,12.2,1506.0,2.1,2.3,100.0,320006000812,CLARK COUNTY SCHOOL DISTRICT,Rural,0,1506.0,36.158356,-115.354566,99.800796812749,17.729083665338646,,,,02435,1506.0,17.729083665338646,1.506,,,Lower middle
02601,Boulder City High School,Clark,Boulder City,Regular School,09-12,19.31,88.46,False,69.8,42.5,28.4,665.0,,13.2,100.0,320006000013,CLARK COUNTY SCHOOL DISTRICT,Town,0,665.0,35.971797,-114.833985,100.0,20.30075187969925,420.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02601,665.0,20.30075187969925,0.665,7.0,Early,Lower middle
02602,Moapa Valley Innovative High School,Clark,Overton,Regular School,09-12,19.49,97.5,True,70.5,38.7,42.6,573.0,2.4,9.1,100.0,320006000078,CLARK COUNTY SCHOOL DISTRICT,Town,0,573.0,36.5845,-114.4586,100.0,19.720767888307154,435.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02602,573.0,19.720767888307154,0.573,7.25,Early,Lower middle
02603,Virgin Valley High School,Clark,Mesquite,Regular School,09-12,16.6,82.13,False,41.8,20.1,35.2,780.0,14.6,14.9,100.0,320006000111,CLARK COUNTY SCHOOL DISTRICT,Town,0,780.0,36.814001,-114.051279,99.87179487179488,35.8974358974359,435.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02603,780.0,35.8974358974359,0.78,7.25,Early,Upper middle
02604,Indian Springs High School,Clark,Indian Springs,Regular School,09-12,16.79,97.5,True,34.4,13.7,28.2,116.0,,14.7,100.0,320006000686,CLARK COUNTY SCHOOL DISTRICT,Rural,0,116.0,36.574247,-115.676645,100.0,38.793103448275865,480.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02604,116.0,38.793103448275865,0.116,8.0,Late,Upper middle
02607,Centennial High School,Clark,Las Vegas,Regular School,09-12,16.84,92.7,False,42.9,19.6,41.5,2865.0,5.3,10.2,100.0,320006000493,CLARK COUNTY SCHOOL DISTRICT,City,0,2865.0,36.279102,-115.319965,99.9650959860384,36.40488656195463,420.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02607,2865.0,36.40488656195463,2.865,7.0,Early,Upper middle
02608,Foothill High School,Clark,Henderson,Regular School,09-12,18.59,89.2,False,62.2,28.6,35.0,2383.0,3.0,13.1,100.0,320006000494,CLARK COUNTY SCHOOL DISTRICT,City,0,2383.0,36.004826,-114.965936,99.9580360889635,27.150650440621067,420.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02608,2383.0,27.150650440621067,2.383,7.0,Early,Lower middle
02609,Institute for Integrated Studies at Desert Pines High School,Clark,Las Vegas,Regular School,09-12,14.57,76.68,False,21.7,2.5,61.8,3151.0,29.8,13.2,100.0,320006000495,CLARK COUNTY SCHOOL DISTRICT,City,0,3151.0,36.178674,-115.092904,99.9365280863218,66.77245318946366,,,,02609,3151.0,66.77245318946366,3.151,,,Highest poverty
02611,Sierra Vista High School,Clark,Las Vegas,Regular School,09-12,16.89,90.05,False,38.5,17.3,43.5,2998.0,8.3,9.1,100.0,320006000539,CLARK COUNTY SCHOOL DISTRICT,Suburb,0,2998.0,36.04969,-115.268422,99.96664442961976,38.792528352234825,420.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02611,2998.0,38.792528352234825,2.998,7.0,Early,Upper middle
02612,Coronado High School,Clark,Henderson,Regular School,09-12,20.74,93.83,False,69.8,43.3,28.8,3365.0,3.6,7.6,100.0,320006000540,CLARK COUNTY SCHOOL DISTRICT,City,0,3365.0,35.993971,-115.111466,99.9702823179792,18.365527488855868,420.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02612,3365.0,18.365527488855868,3.365,7.0,Early,Lower middle
02614,Odyssey Charter High School,Clark,Las Vegas,District Sponsored Charter School,09-12,16.9,88.22,False,48.2,8.8,7.5,1364.0,5.7,12.0,0.0,320006000609,CLARK COUNTY SCHOOL DISTRICT,City,1,1364.0,36.146949,-115.226415,0.219941348973607,0.219941348973607,,,,02614,1364.0,0.219941348973607,1.364,,,Lowest poverty
02616,Explore Knowledge Academy Charter Secondary,Clark,Las Vegas,District Sponsored Charter School,06-12,20.62,97.5,True,80.9,28.5,12.6,300.0,6.3,12.3,0.0,320006000707,CLARK COUNTY SCHOOL DISTRICT,City,1,300.0,36.08226,-115.073761,1.0,1.0,,,,02616,300.0,1.0,0.3,,,Lowest poverty
02618,Arbor View High School,Clark,Las Vegas,Regular School,09-12,17.79,94.82,False,49.0,21.1,34.8,3251.0,3.2,10.3,100.0,320006000661,CLARK COUNTY SCHOOL DISTRICT,City,0,3251.0,36.302474,-115.257513,99.81544140264532,27.31467240848969,420.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02618,3251.0,27.31467240848969,3.251,7.0,Early,Lower middle
02619,Legacy High School,Clark,N  Las Vegas,Regular School,09-12,14.94,83.33,False,20.9,6.7,50.3,2750.0,10.1,14.6,100.0,320006000714,CLARK COUNTY SCHOOL DISTRICT,Suburb,0,2750.0,36.284568,-115.141605,100.0,45.96363636363636,420.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02619,2750.0,45.96363636363636,2.75,7.0,Early,Highest poverty
02620,Northwest Career and Technical Academy,Clark,Las Vegas,Regular School,09-12,20.47,97.5,True,81.7,38.7,14.7,1923.0,3.5,5.8,100.0,320006000755,CLARK COUNTY SCHOOL DISTRICT,City,0,1923.0,36.27207,-115.273711,100.0,21.99687987519501,,,,02620,1923.0,21.99687987519501,1.923,,,Lower middle
02621,Delta Academy,Clark,North Las Vegas,District Sponsored Charter School,06-12,15.6,68.81,False,22.7,5.4,10.4,1141.0,10.2,11.0,100.0,320006000745,CLARK COUNTY SCHOOL DISTRICT,Suburb,1,1141.0,36.214673,-115.152421,99.91235758106924,54.42594215600351,,,,02621,1141.0,54.42594215600351,1.141,,,Highest poverty
02623,Desert Oasis High School,Clark,Las Vegas,Regular School,09-12,17.21,89.02,False,47.3,20.8,35.9,3131.0,6.6,8.9,100.0,320006000754,CLARK COUNTY SCHOOL DISTRICT,Rural,0,3131.0,35.992219,-115.237358,100.0,30.405621207282017,420.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02623,3131.0,30.405621207282017,3.131,7.0,Early,Upper middle
02624,East Career and Technical Academy,Clark,Las Vegas,Regular School,09-12,18.34,97.5,True,67.3,26.1,26.6,1988.0,10.2,4.9,100.0,320006000748,CLARK COUNTY SCHOOL DISTRICT,Rural,0,1988.0,36.136217,-115.026679,100.0,40.19114688128773,420.0,district document,https://ewscripps.brightspotcdn.com/8d/09/49c15ff94026813f63113026bd4a/2022-2023-ccsd-school-start-end-times.pdf,02624,1988.0,40.19114688128773,1.988,7.0,Early,Upper middle
02941,Clark Adult Program,Clark,Las Vegas,Adult Education,AD-AD,,2.5,True,,,,,,,,320006000795,CLARK COUNTY SCHOOL DISTRICT,City,0,4559.0,36.148329,-115.111708,0.0658039043649923,0.0658039043649923,,,,02941,4559.0,0.0658039043649923,4.559,,,Lowest poverty
02625,Nevada Learning Academy at CCSD,Clark,Las Vegas,Regular School,06-12,16.18,70.65,False,30.4,6.4,59.9,3137.0,12.3,19.1,0.0,320006000845,CLARK COUNTY SCHOOL DISTRICT,City,0,3137.0,36.115832,-115.109201,0.0956327701625757,0.0956327701625757,,,,02625,3137.0,0.0956327701625757,3.137,,,Lowest poverty
03501,Douglas High School,Douglas,Minden,Regular School,09-12,18.09,91.69,False,47.6,27.4,27.6,1643.0,3.8,10.9,22.3,320009000120,DOUGLAS COUNTY SCHOOL DISTRICT,Town,0,1643.0,38.95844,-119.780736,22.33718807060256,18.68533171028606,,,,03501,1643.0,18.68533171028606,1.643,,,Lower middle
03502,George Whittell High School,Douglas,Zephyr Cove,Regular School,06-12,,89.47,False,46.1,15.3,35.1,152.0,,9.9,22.4,320009000122,DOUGLAS COUNTY SCHOOL DISTRICT,Rural,0,152.0,39.013978,-119.942119,22.36842105263158,13.157894736842104,,,,03502,152.0,13.157894736842104,0.152,,,Lowest poverty
04603,Elko High School,Elko,Elko,Regular School,09-12,17.01,81.53,False,40.9,16.9,37.4,1424.0,5.1,12.3,31.0,320012000130,ELKO COUNTY SCHOOL DISTRICT,Town,0,1424.0,40.839167,-115.761052,31.03932584269663,20.85674157303371,,,,04603,1424.0,20.85674157303371,1.424,,,Lower middle
04606,Spring Creek High School,Elko,Spring Creek,Regular School,09-12,17.96,90.96,False,48.6,22.4,37.2,909.0,1.3,13.3,15.8,320012000330,ELKO COUNTY SCHOOL DISTRICT,Rural,0,909.0,40.77441,-115.642822,15.84158415841584,9.46094609460946,,,,04606,909.0,9.46094609460946,0.909,,,Lowest poverty
